"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
30,"20% : 80%",2,24.0,96.0,11.061898000000001,5.0,16.061898,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
31,"10% : 90%",2,12.0,108.0,10.740647,5.0,15.740647,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
32,"0% : 100%",2,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"gpba"
33,"100% : 0%",3,120.0,"",10.644340000000001,"",10.644340000000001,36.0,"",36.0,0.7657933726952031,"",0.7657933726952031,"gpba"
34,"90% : 10%",3,108.0,12.0,10.820738000000002,5.0,15.820738000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
35,"80% : 20%",3,96.0,24.0,10.804826000000002,5.0,15.804826000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
36,"70% : 30%",3,84.0,36.0,10.599545999999998,5.0,15.599545999999998,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
37,"60% : 40%",3,72.0,48.0,10.805415,5.0,15.805415,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
38,"50% : 50%",3,60.0,60.0,10.619444,5.0,15.619444,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
39,"40% : 60%",3,48.0,72.0,10.922346000000001,5.0,15.922346000000001,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
40,"30% : 70%",3,36.0,84.0,11.069351999999999,5.0,16.069352,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
41,"20% : 80%",3,24.0,96.0,11.080368000000004,5.0,16.080368000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
42,"10% : 90%",3,12.0,108.0,10.784253999999999,5.0,15.784253999999999,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
43,"0% : 100%",3,"",120.0,"",24.0,24.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"gpba"
44,"100% : 0%",4,120.0,"",10.821154999999997,"",10.821154999999997,36.0,"",36.0,0.7657933726952031,"",0.7657933726952031,"gpba"
45,"90% : 10%",4,108.0,12.0,10.852014999999998,5.0,15.852014999999998,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
46,"80% : 20%",4,96.0,24.0,10.830759000000002,5.0,15.830759000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
47,"70% : 30%",4,84.0,36.0,10.610393,5.0,15.610393,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
48,"60% : 40%",4,72.0,48.0,10.749707000000004,5.0,15.749707000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
49,"50% : 50%",4,60.0,60.0,10.602525000000002,5.0,15.602525000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
50,"40% : 60%",4,48.0,72.0,10.929490999999995,5.0,15.929490999999995,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
51,"30% : 70%",4,36.0,84.0,11.144050999999996,5.0,16.144050999999997,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
52,"20% : 80%",4,24.0,96.0,11.066488999999995,5.0,16.066488999999997,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
53,"10% : 90%",4,12.0,108.0,10.912441,5.0,15.912441,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
54,"0% : 100%",4,"",120.0,"",24.0,24.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"gpba"
55,"100% : 0%",5,120.0,"",10.824844000000002,"",10.824844000000002,36.0,"",36.0,0.7657933726952031,"",0.7657933726952031,"gpba"
56,"90% : 10%",5,108.0,12.0,10.847047000000005,5.0,15.847047000000005,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
57,"80% : 20%",5,96.0,24.0,10.880494999999996,5.0,15.880494999999996,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
58,"70% : 30%",5,84.0,36.0,10.652485999999998,5.0,15.652485999999998,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
59,"60% : 40%",5,72.0,48.0,10.747823999999996,5.0,15.747823999999996,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
